Date,Time,ms,LEVEL,TEMPERATURE,DateTime
4/18/17,11:01:23,0,-0.009,23,42843.46
4/18/17,11:16:23,0,0.636,21.5,42843.47
4/18/17,11:31:23,0,0.636,22.8,42843.48
4/18/17,11:46:23,0,0.628,22.8,42843.49
4/18/17,12:01:23,0,0.635,22.8,42843.5
4/18/17,12:16:23,0,0.636,22.7,42843.51
4/18/17,12:31:23,0,0.635,22.7,42843.52
4/18/17,12:46:23,0,0.635,22.7,42843.53
4/18/17,13:01:23,0,0.64,22.7,42843.54
4/18/17,13:16:23,0,0.637,22.7,42843.55
4/18/17,13:31:23,0,0.646,22.8,42843.56
4/18/17,13:46:23,0,0.631,22.8,42843.57
4/18/17,14:01:23,0,0.626,22.9,42843.58
4/18/17,14:16:23,0,0.639,22.9,42843.59
4/18/17,14:31:23,0,0.627,22.9,42843.61
4/18/17,14:46:23,0,0.629,22.9,42843.62
4/18/17,15:01:23,0,0.637,22.9,42843.63
4/18/17,15:16:23,0,0.624,23,42843.64
4/18/17,15:31:23,0,0.629,23,42843.65
4/18/17,15:46:23,0,0.635,23,42843.66
4/18/17,16:01:23,0,0.628,22.9,42843.67
4/18/17,16:16:23,0,0.627,22.9,42843.68
4/18/17,16:31:23,0,0.637,23,42843.69
4/18/17,16:46:23,0,0.628,22.9,42843.7
4/18/17,17:01:23,0,0.631,22.9,42843.71
4/18/17,17:16:23,0,0.634,22.9,42843.72
4/18/17,17:31:23,0,0.629,22.9,42843.73
4/18/17,17:46:23,0,0.63,22.9,42843.74
4/18/17,18:01:23,0,0.632,22.8,42843.75
4/18/17,18:16:23,0,0.624,22.8,42843.76
4/18/17,18:31:23,0,0.629,22.8,42843.77
4/18/17,18:46:23,0,0.633,22.8,42843.78
4/18/17,19:01:23,0,0.629,22.8,42843.79
4/18/17,19:16:23,0,0.626,22.7,42843.8
4/18/17,19:31:23,0,0.631,22.7,42843.81
4/18/17,19:46:23,0,0.63,22.7,42843.82
4/18/17,20:01:23,0,0.628,22.6,42843.83
4/18/17,20:16:23,0,0.629,22.6,42843.84
4/18/17,20:31:23,0,0.631,22.6,42843.86
4/18/17,20:46:23,0,0.634,22.5,42843.87
4/18/17,21:01:23,0,0.633,22.5,42843.88
4/18/17,21:16:23,0,0.627,22.4,42843.89
4/18/17,21:31:23,0,0.627,22.4,42843.9
4/18/17,21:46:23,0,0.632,22.4,42843.91
4/18/17,22:01:23,0,0.624,22.3,42843.92
4/18/17,22:16:23,0,0.623,22.3,42843.93
4/18/17,22:31:23,0,0.629,22.2,42843.94
4/18/17,22:46:23,0,0.629,22.2,42843.95
4/18/17,23:01:23,0,0.622,22.1,42843.96
4/18/17,23:16:23,0,0.628,22.1,42843.97
4/18/17,23:31:23,0,0.627,22.1,42843.98
4/18/17,23:46:23,0,0.622,22,42843.99
4/19/17,0:01:23,0,0.629,22,42844
4/19/17,0:16:23,0,0.625,22,42844.01
4/19/17,0:31:23,0,0.621,21.9,42844.02
4/19/17,0:46:23,0,0.626,21.9,42844.03
4/19/17,1:01:23,0,0.624,21.9,42844.04
4/19/17,1:16:23,0,0.621,21.8,42844.05
4/19/17,1:31:23,0,0.626,21.8,42844.06
4/19/17,1:46:23,0,0.624,21.8,42844.07
4/19/17,2:01:23,0,0.621,21.7,42844.08
4/19/17,2:16:23,0,0.625,21.7,42844.09
4/19/17,2:31:23,0,0.626,21.7,42844.11
4/19/17,2:46:23,0,0.624,21.7,42844.12
4/19/17,3:01:23,0,0.628,21.6,42844.13
4/19/17,3:16:23,0,0.626,21.6,42844.14
4/19/17,3:31:23,0,0.616,21.6,42844.15
4/19/17,3:46:23,0,0.623,21.5,42844.16
4/19/17,4:01:23,0,0.624,21.5,42844.17
4/19/17,4:16:23,0,0.622,21.5,42844.18
4/19/17,4:31:23,0,0.622,21.5,42844.19
4/19/17,4:46:23,0,0.628,21.4,42844.2
4/19/17,5:01:23,0,0.615,21.4,42844.21
4/19/17,5:16:23,0,0.621,21.4,42844.22
4/19/17,5:31:23,0,0.625,21.3,42844.23
4/19/17,5:46:23,0,0.619,21.3,42844.24
4/19/17,6:01:23,0,0.625,21.3,42844.25
4/19/17,6:16:23,0,0.627,21.3,42844.26
4/19/17,6:31:23,0,0.618,21.2,42844.27
4/19/17,6:46:23,0,0.625,21.2,42844.28
4/19/17,7:01:23,0,0.624,21.2,42844.29
4/19/17,7:16:23,0,0.622,21.2,42844.3
4/19/17,7:31:23,0,0.622,21.1,42844.31
4/19/17,7:46:23,0,0.624,21.1,42844.32
4/19/17,8:01:23,0,0.615,21.1,42844.33
4/19/17,8:16:23,0,0.625,21.1,42844.34
4/19/17,8:31:23,0,0.621,21.1,42844.36
4/19/17,8:46:23,0,0.617,21.1,42844.37
4/19/17,9:01:23,0,0.626,21.1,42844.38
4/19/17,9:16:23,0,0.625,21.2,42844.39
4/19/17,9:31:23,0,0.629,21.3,42844.4
4/19/17,9:46:23,0,0.628,21.4,42844.41
4/19/17,10:01:23,0,0.637,21.5,42844.42
4/19/17,10:16:23,0,0.631,21.7,42844.43
4/19/17,10:31:23,0,0.633,22,42844.44
4/19/17,10:46:23,0,0.64,22.3,42844.45
4/19/17,11:01:23,0,0.629,22.3,42844.46
4/19/17,11:16:23,0,0.634,22.4,42844.47
4/19/17,11:31:23,0,0.635,22.3,42844.48
4/19/17,11:46:23,0,0.627,22.2,42844.49
4/19/17,12:01:23,0,0.635,22.2,42844.5
4/19/17,12:16:23,0,0.629,22.2,42844.51
4/19/17,12:31:23,0,0.625,22.2,42844.52
4/19/17,12:46:23,0,0.633,22.3,42844.53
4/19/17,13:01:23,0,0.627,22.2,42844.54
4/19/17,13:16:23,0,0.626,22.3,42844.55
4/19/17,13:31:23,0,0.626,22.3,42844.56
4/19/17,13:46:23,0,0.621,22.3,42844.57
4/19/17,14:01:23,0,0.62,22.5,42844.58
4/19/17,14:16:23,0,0.629,22.9,42844.59
