Date,Time,ms,LEVEL,TEMPERATURE,DateTime
8/23/17,23:59:00,0,0.862,28.8,42971
8/24/17,0:14:00,0,0.895,28.8,42971.01
8/24/17,0:29:00,0,0.853,28.7,42971.02
8/24/17,0:44:00,0,0.87,28.7,42971.03
8/24/17,0:59:00,0,0.874,28.7,42971.04
8/24/17,1:14:00,0,0.858,28.6,42971.05
8/24/17,1:29:00,0,0.866,28.6,42971.06
8/24/17,1:44:00,0,0.867,28.5,42971.07
8/24/17,1:59:00,0,0.871,28.5,42971.08
8/24/17,2:14:00,0,0.863,28.5,42971.09
8/24/17,2:29:00,0,0.877,28.5,42971.1
8/24/17,2:44:00,0,0.873,28.4,42971.11
8/24/17,2:59:00,0,0.873,28.3,42971.12
8/24/17,3:14:00,0,0.854,28.3,42971.13
8/24/17,3:29:00,0,0.877,28.3,42971.15
8/24/17,3:44:00,0,0.849,28.3,42971.16
8/24/17,3:59:00,0,0.864,28.2,42971.17
8/24/17,4:14:00,0,0.857,28.3,42971.18
8/24/17,4:29:00,0,0.881,28.2,42971.19
8/24/17,4:44:00,0,0.853,28.2,42971.2
8/24/17,4:59:00,0,0.873,28.2,42971.21
8/24/17,5:14:00,0,0.873,28.1,42971.22
8/24/17,5:29:00,0,0.862,28.1,42971.23
8/24/17,5:44:00,0,0.852,28.1,42971.24
8/24/17,5:59:00,0,0.864,28.1,42971.25
8/24/17,6:14:00,0,0.881,28,42971.26
8/24/17,6:29:00,0,0.863,28,42971.27
8/24/17,6:44:00,0,0.875,28,42971.28
8/24/17,6:59:00,0,0.871,28,42971.29
8/24/17,7:14:00,0,0.891,27.9,42971.3
8/24/17,7:29:00,0,0.86,27.9,42971.31
8/24/17,7:44:00,0,0.884,27.9,42971.32
8/24/17,7:59:00,0,0.861,27.8,42971.33
8/24/17,8:14:00,0,0.875,27.8,42971.34
8/24/17,8:29:00,0,0.863,27.8,42971.35
8/24/17,8:44:00,0,0.87,27.8,42971.36
8/24/17,8:59:00,0,0.861,27.7,42971.37
8/24/17,9:14:00,0,0.872,27.7,42971.38
8/24/17,9:29:00,0,0.874,27.7,42971.4
8/24/17,9:44:00,0,0.868,27.7,42971.41
8/24/17,9:59:00,0,0.88,27.7,42971.42
8/24/17,10:14:00,0,0.868,27.7,42971.43
8/24/17,10:29:00,0,0.882,27.7,42971.44
8/24/17,10:44:00,0,0.868,27.8,42971.45
8/24/17,10:59:00,0,0.88,27.8,42971.46
8/24/17,11:14:00,0,0.871,27.8,42971.47
8/24/17,11:29:00,0,0.874,27.9,42971.48
8/24/17,11:44:00,0,0.864,27.9,42971.49
8/24/17,11:59:00,0,0.878,28.1,42971.5
8/24/17,12:14:00,0,0.871,28.2,42971.51
